Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0002181,cytoplasmic translation,19_GO:0008152 metabolic process,-35,7.7,19,30293,123,1751,55,3.1,0.42,2107|3646|4736|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6168|6171|6173|6175|6176|6187|6188|6189|6191|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|7884|8664|8665|8667|8669|8894|11224|51386|55854,ETF1|EIF3E|RPL10A|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|SLBP|EIF3D|EIF3F|EIF3H|EIF3J|EIF2S2|RPL35|EIF3L|ZC3H15,-30
MyList,GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-31,4,15,30293,393,1751,92,5.3,0.53,1734|1915|1933|1965|2058|2107|3376|3646|4736|5188|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6166|6168|6171|6173|6175|6176|6187|6188|6189|6191|6192|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|7284|7458|7884|7965|8664|8665|8667|8669|8890|8894|9086|9652|10209|11224|23438|25898|51021|51023|51253|51258|51263|51386|51649|51714|54952|55037|55052|55168|55699|55854|64976|80349|84340|118487|124454|124995|140032,DIO2|EEF1A1|EEF1B2|EIF2S1|EPRS1|ETF1|IARS1|EIF3E|RPL10A|GATB|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL36AL|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS4Y1|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|TUFM|EIF4H|SLBP|AIMP2|EIF3D|EIF3F|EIF3H|EIF3J|EIF2B4|EIF2S2|EIF1AY|SKIC3|EIF1|RPL35|HARS2|RCHY1|MRPS16|MRPS18C|MRPL37|MRPL51|MRPL30|EIF3L|MRPS23|SELENOT|TRNAU1AP|PTCD3|MRPL20|MRPS18A|IARS2|ZC3H15|MRPL40|SKIC8|GFM2|CHCHD1|EARS2|MRPL10|RPS4Y2,-27
MyList,GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-30,3.9,15,30293,422,1751,95,5.4,0.54,1734|1915|1933|1965|2058|2107|2681|3376|3646|4736|5125|5188|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6166|6168|6171|6173|6175|6176|6187|6188|6189|6191|6192|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|6505|7284|7458|7884|7965|8664|8665|8667|8669|8890|8894|9086|9652|10209|11224|23438|25898|51021|51023|51253|51258|51263|51386|51649|51714|54952|55037|55052|55168|55699|55854|64976|80349|84340|118487|124454|124995|140032,DIO2|EEF1A1|EEF1B2|EIF2S1|EPRS1|ETF1|GGTA1|IARS1|EIF3E|RPL10A|PCSK5|GATB|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL36AL|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS4Y1|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|SLC1A1|TUFM|EIF4H|SLBP|AIMP2|EIF3D|EIF3F|EIF3H|EIF3J|EIF2B4|EIF2S2|EIF1AY|SKIC3|EIF1|RPL35|HARS2|RCHY1|MRPS16|MRPS18C|MRPL37|MRPL51|MRPL30|EIF3L|MRPS23|SELENOT|TRNAU1AP|PTCD3|MRPL20|MRPS18A|IARS2|ZC3H15|MRPL40|SKIC8|GFM2|CHCHD1|EARS2|MRPL10|RPS4Y2,-27
MyList,GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-29,3.4,14,30293,546,1751,108,6.2,0.57,38|435|1050|1734|1738|1915|1933|1965|2058|2107|2681|3376|3646|4594|4736|5125|5162|5188|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6166|6168|6171|6173|6175|6176|6187|6188|6189|6191|6192|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|6505|6609|7284|7458|7884|7965|8664|8665|8667|8669|8703|8890|8894|9086|9200|9652|10209|10715|11001|11224|23438|25898|30815|51021|51023|51253|51258|51263|51386|51649|51714|54952|55037|55052|55168|55699|55854|64976|80349|84340|118487|124454|124995|140032|142891,ACAT1|ASL|CEBPA|DIO2|DLD|EEF1A1|EEF1B2|EIF2S1|EPRS1|ETF1|GGTA1|IARS1|EIF3E|MMUT|RPL10A|PCSK5|PDHB|GATB|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL36AL|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS4Y1|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|SLC1A1|SMPD1|TUFM|EIF4H|SLBP|AIMP2|EIF3D|EIF3F|EIF3H|EIF3J|B4GALT3|EIF2B4|EIF2S2|EIF1AY|HACD1|SKIC3|EIF1|CERS1|SLC27A2|RPL35|HARS2|RCHY1|ST6GALNAC6|MRPS16|MRPS18C|MRPL37|MRPL51|MRPL30|EIF3L|MRPS23|SELENOT|TRNAU1AP|PTCD3|MRPL20|MRPS18A|IARS2|ZC3H15|MRPL40|SKIC8|GFM2|CHCHD1|EARS2|MRPL10|RPS4Y2|SAMD8,-26
MyList,GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-29,3.5,14,30293,515,1751,104,5.9,0.56,1363|1734|1915|1933|1965|2058|2107|2681|3376|3646|4736|5034|5125|5188|5936|6122|6124|6125|6129|6130|6133|6134|6135|6136|6137|6142|6143|6144|6146|6154|6155|6157|6159|6160|6161|6166|6168|6171|6173|6175|6176|6187|6188|6189|6191|6192|6203|6204|6206|6208|6209|6210|6218|6222|6223|6224|6228|6233|6301|6505|7284|7458|7884|7941|7965|8664|8665|8667|8669|8678|8890|8894|9086|9520|9652|10209|11224|23438|25898|51021|51023|51253|51258|51263|51386|51649|51714|54952|55037|55052|55168|55486|55699|55854|64976|80349|84340|90701|118487|121665|124454|124995|140032|440434,CPE|DIO2|EEF1A1|EEF1B2|EIF2S1|EPRS1|ETF1|GGTA1|IARS1|EIF3E|RPL10A|P4HB|PCSK5|GATB|RBM4|RPL3|RPL4|RPL5|RPL7|RPL7A|RPL9|RPL10|RPL11|RPL12|RPL13|RPL18A|RPL19|RPL21|RPL22|RPL26|RPL27|RPL27A|RPL29|RPL31|RPL32|RPL36AL|RPL37A|RPL41|RPL36A|RPLP0|RPLP1|RPS2|RPS3|RPS3A|RPS4X|RPS4Y1|RPS9|RPS10|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS18|RPS19|RPS20|RPS23|RPS27A|SARS1|SLC1A1|TUFM|EIF4H|SLBP|PLA2G7|AIMP2|EIF3D|EIF3F|EIF3H|EIF3J|BECN1|EIF2B4|EIF2S2|EIF1AY|NPEPPS|SKIC3|EIF1|RPL35|HARS2|RCHY1|MRPS16|MRPS18C|MRPL37|MRPL51|MRPL30|EIF3L|MRPS23|SELENOT|TRNAU1AP|PTCD3|MRPL20|MRPS18A|PARL|IARS2|ZC3H15|MRPL40|SKIC8|GFM2|SEC11C|CHCHD1|SPPL3|EARS2|MRPL10|RPS4Y2|NPEPPSP1,-25
MyList,GO Biological Processes,19,GO:0022613,ribonucleoprotein complex biogenesis,19_GO:0009987 cellular process,-19,3,11,30293,492,1751,85,4.9,0.51,103|1662|2752|3646|4736|5822|6125|6129|6130|6134|6135|6154|6155|6175|6189|6191|6203|6206|6208|6209|6210|6218|6223|6228|6629|6631|6634|6635|6636|6637|6838|6880|7248|7514|7536|8451|8487|8575|8664|8665|8667|8669|8894|9188|9326|9724|10181|10200|10412|10419|10421|10438|10521|10528|10772|10885|10907|10969|11157|11224|22827|23016|23020|23450|23560|26747|51386|51491|51639|54433|55052|55341|55651|57050|57819|58155|60680|64282|79033|79707|79863|90121|90441|135295|404672,ADAR|DDX10|GLUL|EIF3E|RPL10A|PWP2|RPL5|RPL7|RPL7A|RPL10|RPL11|RPL26|RPL27|RPLP0|RPS3A|RPS4X|RPS9|RPS12|RPS14|RPS15|RPS15A|RPS17|RPS19|RPS23|SNRPB2|SNRPC|SNRPD3|SNRPE|SNRPF|SNRPG|SURF6|TAF9|TSC1|XPO1|SF1|CUL4A|GEMIN2|PRKRA|EIF3D|EIF3F|EIF3H|EIF3J|EIF2S2|DDX21|ZNHIT3|UTP14C|RBM5|MPHOSPH6|NSA2|PRMT5|CD2BP2|C1D|DDX17|NOP56|SRSF10|WDR3|TXNL4A|EBNA1BP2|LSM6|RPL35|PUF60|EXOSC7|SNRNP200|SF3B3|GTPBP4|NUFIP1|EIF3L|NOP16|SF3B6|GAR1|MRPL20|LSG1|NHP2|UTP3|LSM2|PTBP2|CELF5|TENT4B|ERI3|NOL9|RBFA|TSR2|ZNF622|SRSF12|GTF2H5,-16
MyList,GO Biological Processes,19,GO:0007005,mitochondrion organization,19_GO:0009987 cellular process,-17,3,10,30293,430,1751,74,4.2,0.48,142|572|597|598|1050|1191|1525|2139|3155|3313|3988|4082|4704|4706|4708|4712|4718|4720|4725|5245|6622|7386|8655|8678|9706|9804|10449|10730|10899|10981|11040|11345|23287|23787|25813|25875|25880|25994|26519|26521|28958|28976|30968|51103|51142|51204|51375|54463|54471|54543|54902|54968|55022|55245|55486|55744|56270|57143|57226|64422|79017|79145|80224|81892|83734|84233|84303|124045|132671|152926|282991|284184|401505|440574,PARP1|BAD|BCL2A1|BCL2L1|CEBPA|CLU|CXADR|EYA2|HMGCL|HSPA9|LIPA|MARCKS|NDUFA9|NDUFAB1|NDUFB2|NDUFB6|NDUFC2|NDUFS2|NDUFS5|PHB1|SNCA|UQCRFS1|DYNLL1|BECN1|ULK2|TOMM20|ACAA2|YME1L1|JTB|RAB32|PIM2|GABARAPL2|AGTPBP1|MTCH1|SAMM50|LETMD1|TMEM186|HIGD1A|TIMM10|TIMM8B|COA3|ACAD9|STOML2|NDUFAF1|CHCHD2|TACO1|SNX7|RETREG1|MIEF1|TOMM7|TTC19|TMEM70|PID1|UQCC1|PARL|COA1|WDR45B|ADCK1|LYRM2|ATG3|GGCT|CHCHD7|NUBPL|SLIRP|ATG10|TMEM126A|CHCHD6|SPATA33|SPATA18|PPM1K|BLOC1S2|NDUFAF8|TOMM5|MICOS10,-13
MyList,GO Biological Processes,19,GO:0006753,nucleoside phosphate metabolic process,19_GO:0008152 metabolic process,-15,2.6,9.4,30293,532,1751,81,4.6,0.5,38|108|113|142|158|159|226|271|318|498|527|572|1353|1738|1740|1806|1841|2023|2821|2987|3094|3156|3157|3312|3418|3939|3948|3988|4191|4199|4522|4594|4625|4704|4706|4708|4712|4718|4720|4725|4726|4830|4860|4878|4968|5138|5162|5211|5223|5236|5471|5631|5635|5636|7167|7372|8942|9200|9615|10591|10632|10840|10965|11001|11163|30968|51166|53343|55190|63979|79077|80221|80308|84649|128240|133686|170685|221823|256281|349565|441531,ACAT1|ADCY2|ADCY7|PARP1|ADSL|ADSS2|ALDOA|AMPD2|NUDT2|ATP5F1A|ATP6V0C|BAD|COX11|DLD|DLG2|DPYD|DTYMK|ENO1|GPI|GUK1|HINT1|HMGCR|HMGCS1|HSPA8|IDH2|LDHA|LDHC|LIPA|MDH2|ME1|MTHFD1|MMUT|MYH7|NDUFA9|NDUFAB1|NDUFB2|NDUFB6|NDUFC2|NDUFS2|NDUFS5|NDUFS6|NME1|PNP|NPPA|OGG1|PDE2A|PDHB|PFKL|PGAM1|PGM1|PPAT|PRPS1|PRPSAP1|PRPSAP2|TPI1|UMPS|KYNU|HACD1|GDA|DNPH1|ATP5MG|ALDH1L1|ACOT2|SLC27A2|NUDT4|STOML2|AADAT|NUDT9|NUDT11|FIGNL1|DCTPP1|ACSF2|FLAD1|DGAT2|NAXE|NADK2|NUDT10|PRPS1L1|NUDT14|NMNAT3|PGAM4,-12
MyList,GO Biological Processes,19,GO:0009117,nucleotide metabolic process,19_GO:0008152 metabolic process,-15,2.6,9.4,30293,524,1751,80,4.6,0.5,38|108|113|142|158|159|226|271|318|498|527|572|1353|1738|1740|1806|1841|2023|2821|2987|3094|3156|3157|3312|3418|3939|3948|3988|4191|4199|4522|4594|4625|4704|4706|4708|4712|4718|4720|4725|4726|4830|4860|4878|4968|5138|5162|5211|5223|5236|5471|5631|5635|5636|7167|7372|8942|9200|9615|10591|10632|10840|10965|11001|11163|30968|51166|53343|55190|63979|79077|80221|80308|84649|128240|133686|170685|221823|349565|441531,ACAT1|ADCY2|ADCY7|PARP1|ADSL|ADSS2|ALDOA|AMPD2|NUDT2|ATP5F1A|ATP6V0C|BAD|COX11|DLD|DLG2|DPYD|DTYMK|ENO1|GPI|GUK1|HINT1|HMGCR|HMGCS1|HSPA8|IDH2|LDHA|LDHC|LIPA|MDH2|ME1|MTHFD1|MMUT|MYH7|NDUFA9|NDUFAB1|NDUFB2|NDUFB6|NDUFC2|NDUFS2|NDUFS5|NDUFS6|NME1|PNP|NPPA|OGG1|PDE2A|PDHB|PFKL|PGAM1|PGM1|PPAT|PRPS1|PRPSAP1|PRPSAP2|TPI1|UMPS|KYNU|HACD1|GDA|DNPH1|ATP5MG|ALDH1L1|ACOT2|SLC27A2|NUDT4|STOML2|AADAT|NUDT9|NUDT11|FIGNL1|DCTPP1|ACSF2|FLAD1|DGAT2|NAXE|NADK2|NUDT10|PRPS1L1|NMNAT3|PGAM4,-12
MyList,GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,19_GO:0008152 metabolic process,-15,2.5,9.3,30293,599,1751,87,5,0.52,38|108|113|142|158|159|226|271|318|498|527|572|1353|1738|1740|1806|1841|2023|2821|2987|3094|3156|3157|3312|3418|3939|3948|3988|4191|4199|4329|4351|4522|4594|4625|4704|4706|4708|4712|4718|4720|4725|4726|4830|4860|4878|4968|5138|5162|5211|5223|5236|5372|5471|5631|5635|5636|7167|7372|8813|8942|9200|9615|10591|10632|10840|10965|11001|11163|22875|30968|51166|53343|55190|55790|63979|79077|80221|80308|84649|128240|133686|170685|221823|256281|349565|441531,ACAT1|ADCY2|ADCY7|PARP1|ADSL|ADSS2|ALDOA|AMPD2|NUDT2|ATP5F1A|ATP6V0C|BAD|COX11|DLD|DLG2|DPYD|DTYMK|ENO1|GPI|GUK1|HINT1|HMGCR|HMGCS1|HSPA8|IDH2|LDHA|LDHC|LIPA|MDH2|ME1|ALDH6A1|MPI|MTHFD1|MMUT|MYH7|NDUFA9|NDUFAB1|NDUFB2|NDUFB6|NDUFC2|NDUFS2|NDUFS5|NDUFS6|NME1|PNP|NPPA|OGG1|PDE2A|PDHB|PFKL|PGAM1|PGM1|PMM1|PPAT|PRPS1|PRPSAP1|PRPSAP2|TPI1|UMPS|DPM1|KYNU|HACD1|GDA|DNPH1|ATP5MG|ALDH1L1|ACOT2|SLC27A2|NUDT4|ENPP4|STOML2|AADAT|NUDT9|NUDT11|CSGALNACT1|FIGNL1|DCTPP1|ACSF2|FLAD1|DGAT2|NAXE|NADK2|NUDT10|PRPS1L1|NUDT14|NMNAT3|PGAM4,-11
MyList,GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,19_GO:0008152 metabolic process,-15,2.9,9.5,30293,416,1751,69,3.9,0.46,38|108|113|142|158|159|226|271|318|498|527|572|1353|1738|1740|1806|2023|2821|2987|3094|3156|3157|3312|3939|3948|3988|4522|4594|4625|4704|4706|4708|4712|4718|4720|4725|4726|4830|4860|4878|5138|5162|5211|5223|5236|5471|5631|5635|5636|5836|7167|7372|9200|9615|10632|10965|11001|11163|30968|51166|53343|55190|63979|80221|84649|170685|221823|256281|441531,ACAT1|ADCY2|ADCY7|PARP1|ADSL|ADSS2|ALDOA|AMPD2|NUDT2|ATP5F1A|ATP6V0C|BAD|COX11|DLD|DLG2|DPYD|ENO1|GPI|GUK1|HINT1|HMGCR|HMGCS1|HSPA8|LDHA|LDHC|LIPA|MTHFD1|MMUT|MYH7|NDUFA9|NDUFAB1|NDUFB2|NDUFB6|NDUFC2|NDUFS2|NDUFS5|NDUFS6|NME1|PNP|NPPA|PDE2A|PDHB|PFKL|PGAM1|PGM1|PPAT|PRPS1|PRPSAP1|PRPSAP2|PYGL|TPI1|UMPS|HACD1|GDA|ATP5MG|ACOT2|SLC27A2|NUDT4|STOML2|AADAT|NUDT9|NUDT11|FIGNL1|ACSF2|DGAT2|NUDT10|PRPS1L1|NUDT14|PGAM4,-11
MyList,GO Biological Processes,19,GO:0072521,purine-containing compound metabolic process,19_GO:0008152 metabolic process,-14,2.7,9.3,30293,492,1751,76,4.3,0.49,38|108|113|142|158|159|226|271|318|498|527|572|1353|1738|1740|1806|2023|2821|2987|3094|3156|3157|3312|3418|3939|3948|3988|4191|4199|4522|4594|4625|4704|4706|4708|4712|4718|4720|4725|4726|4830|4860|4878|5138|5162|5211|5223|5236|5471|5631|5635|5636|7167|8942|9200|9615|10591|10632|10840|10965|11001|11163|22875|30968|51166|53343|55190|55604|63979|80221|84649|133686|170685|221823|349565|441531,ACAT1|ADCY2|ADCY7|PARP1|ADSL|ADSS2|ALDOA|AMPD2|NUDT2|ATP5F1A|ATP6V0C|BAD|COX11|DLD|DLG2|DPYD|ENO1|GPI|GUK1|HINT1|HMGCR|HMGCS1|HSPA8|IDH2|LDHA|LDHC|LIPA|MDH2|ME1|MTHFD1|MMUT|MYH7|NDUFA9|NDUFAB1|NDUFB2|NDUFB6|NDUFC2|NDUFS2|NDUFS5|NDUFS6|NME1|PNP|NPPA|PDE2A|PDHB|PFKL|PGAM1|PGM1|PPAT|PRPS1|PRPSAP1|PRPSAP2|TPI1|KYNU|HACD1|GDA|DNPH1|ATP5MG|ALDH1L1|ACOT2|SLC27A2|NUDT4|ENPP4|STOML2|AADAT|NUDT9|NUDT11|CARMIL1|FIGNL1|ACSF2|DGAT2|NADK2|NUDT10|PRPS1L1|NMNAT3|PGAM4,-11
MyList,GO Biological Processes,19,GO:0006163,purine nucleotide metabolic process,19_GO:0008152 metabolic process,-14,2.7,9.3,30293,463,1751,73,4.2,0.48,38|108|113|142|158|159|226|271|318|498|527|572|1353|1738|1740|2023|2821|2987|3094|3156|3157|3312|3418|3939|3948|3988|4191|4199|4522|4594|4625|4704|4706|4708|4712|4718|4720|4725|4726|4830|4860|4878|5138|5162|5211|5223|5236|5471|5631|5635|5636|7167|8942|9200|9615|10591|10632|10840|10965|11001|11163|30968|51166|53343|55190|63979|80221|84649|133686|170685|221823|349565|441531,ACAT1|ADCY2|ADCY7|PARP1|ADSL|ADSS2|ALDOA|AMPD2|NUDT2|ATP5F1A|ATP6V0C|BAD|COX11|DLD|DLG2|ENO1|GPI|GUK1|HINT1|HMGCR|HMGCS1|HSPA8|IDH2|LDHA|LDHC|LIPA|MDH2|ME1|MTHFD1|MMUT|MYH7|NDUFA9|NDUFAB1|NDUFB2|NDUFB6|NDUFC2|NDUFS2|NDUFS5|NDUFS6|NME1|PNP|NPPA|PDE2A|PDHB|PFKL|PGAM1|PGM1|PPAT|PRPS1|PRPSAP1|PRPSAP2|TPI1|KYNU|HACD1|GDA|DNPH1|ATP5MG|ALDH1L1|ACOT2|SLC27A2|NUDT4|STOML2|AADAT|NUDT9|NUDT11|FIGNL1|ACSF2|DGAT2|NADK2|NUDT10|PRPS1L1|NMNAT3|PGAM4,-11
MyList,GO Biological Processes,19,GO:0043632,modification-dependent macromolecule catabolic process,19_GO:0008152 metabolic process,-13,2.5,8.7,30293,551,1751,79,4.5,0.5,821|1642|3093|3300|4738|5683|5686|5687|5688|5693|5695|5702|5706|5707|5715|6047|6048|6233|6500|6921|7251|7314|7319|7320|7322|7337|7345|7347|7353|7993|8451|8453|8945|9246|9491|10040|11236|11267|23016|23291|23327|23352|25898|26234|26994|27243|27338|29082|29116|51283|51510|51528|51529|51608|51676|54442|54542|54602|55048|55829|55968|57092|57484|64282|65264|79718|80232|80344|128866|137886|143384|146330|153830|155382|196394|197131|200845|246184|378884,CANX|DDB1|UBE2K|DNAJB2|NEDD8|PSMA2|PSMA5|PSMA6|PSMA7|PSMB5|PSMB7|PSMC3|PSMC6|PSMD1|PSMD9|RNF4|RNF5|RPS27A|SKP1|ELOC|TSG101|UBB|UBE2A|UBE2B|UBE2D2|UBE3A|UCHL1|UCHL3|UFD1|UBXN8|CUL4A|CUL2|BTRC|UBE2L6|PSMF1|TOM1L1|RNF139|SNF8|EXOSC7|FBXW11|NEDD4L|UBR4|RCHY1|FBXL5|RNF11|CHMP2A|UBE2S|CHMP4A|MYLIP|BFAR|CHMP5|JKAMP|ANAPC11|GET4|ASB2|KCTD5|RC3H2|NDFIP2|VPS37C|SELENOS|NSFL1C|PCNP|RNF150|TENT4B|UBE2Z|TBL1XR1|WDR26|DCAF11|CHMP4B|UBXN2B|CACUL1|FBXL16|RNF145|VPS37D|AMN1|UBR1|KCTD6|CDC26|NHLRC1,-10
MyList,GO Biological Processes,19,GO:0019941,modification-dependent protein catabolic process,19_GO:0008152 metabolic process,-13,2.5,8.5,30293,540,1751,77,4.4,0.49,821|1642|3093|3300|4738|5683|5686|5687|5688|5693|5695|5702|5706|5707|5715|6047|6048|6233|6500|6921|7251|7314|7319|7320|7322|7337|7345|7347|7353|7993|8451|8453|8945|9246|9491|10040|11236|11267|23291|23327|23352|25898|26234|26994|27243|27338|29082|29116|51283|51510|51528|51529|51608|51676|54442|54542|54602|55048|55829|55968|57092|57484|65264|79718|80232|80344|128866|137886|143384|146330|153830|155382|196394|197131|200845|246184|378884,CANX|DDB1|UBE2K|DNAJB2|NEDD8|PSMA2|PSMA5|PSMA6|PSMA7|PSMB5|PSMB7|PSMC3|PSMC6|PSMD1|PSMD9|RNF4|RNF5|RPS27A|SKP1|ELOC|TSG101|UBB|UBE2A|UBE2B|UBE2D2|UBE3A|UCHL1|UCHL3|UFD1|UBXN8|CUL4A|CUL2|BTRC|UBE2L6|PSMF1|TOM1L1|RNF139|SNF8|FBXW11|NEDD4L|UBR4|RCHY1|FBXL5|RNF11|CHMP2A|UBE2S|CHMP4A|MYLIP|BFAR|CHMP5|JKAMP|ANAPC11|GET4|ASB2|KCTD5|RC3H2|NDFIP2|VPS37C|SELENOS|NSFL1C|PCNP|RNF150|UBE2Z|TBL1XR1|WDR26|DCAF11|CHMP4B|UBXN2B|CACUL1|FBXL16|RNF145|VPS37D|AMN1|UBR1|KCTD6|CDC26|NHLRC1,-9.6
MyList,GO Biological Processes,19,GO:0070201,regulation of establishment of protein localization,19_GO:0051179 localization,-12,2.5,8.4,30293,535,1751,76,4.3,0.49,240|572|945|1268|2281|2850|3033|3059|3156|3208|3265|3301|3312|3684|3689|3741|3936|4088|4628|4856|4946|4947|5211|5478|5532|5569|5580|5621|5715|5950|5991|6422|6505|6810|6950|7043|7097|7200|7203|7251|7260|7295|7468|7514|8111|8655|8724|8938|9270|9501|9520|10456|10519|10574|10576|22948|23379|23410|27230|27236|51100|51614|54471|54543|54602|55486|55612|59286|63928|79651|79751|79971|84830|89781|127933|134957,ALOX5|BAD|CD33|CNR1|FKBP1B|GPR27|HADH|HCLS1|HMGCR|HPCA|HRAS|DNAJA1|HSPA8|ITGAM|ITGB2|KCNA5|LCP1|SMAD3|MYH10|CCN3|OAZ1|OAZ2|PFKL|PPIA|PPP3CB|PKIA|PRKCD|PRNP|PSMD9|RBP4|RFX3|SFRP1|SLC1A1|STX4|TCP1|TGFB3|TLR2|TRH|CCT3|TSG101|EIPR1|TXN|NSD2|XPO1|GPR68|DYNLL1|SNX3|BAIAP3|ITGB1BP1|RPH3AL|NPEPPS|HAX1|CIB1|CCT7|CCT2|CCT5|ICE1|SIRT3|SERP1|ARFIP1|SH3GLB1|ERGIC3|MIEF1|TOMM7|NDFIP2|PARL|FERMT1|UBL5|CHP2|RHBDF2|SLC25A22|WLS|ADTRP|HPS4|UHMK1|STXBP5,-9.4
MyList,GO Biological Processes,19,GO:0051668,localization within membrane,19_GO:0051179 localization,-12,2.4,8.4,30293,557,1751,78,4.5,0.49,88|403|537|1012|1363|1398|1740|1855|3689|4666|4836|5064|5660|5764|5824|5879|5906|6505|6726|6728|7260|7485|8724|8766|9270|9804|9863|9914|10368|10858|10981|11031|11079|11267|22930|23043|23480|23673|23787|25813|25945|26003|26519|26521|29082|29993|51100|51234|51375|51560|51608|51699|54536|54543|55048|55146|55625|55800|56851|57628|57706|64422|79651|83955|91663|91851|128240|128866|133022|155382|157680|196383|254887|340348|342538|389941|401505|100133941,ACTN2|ARL3|ATP6AP1|CDH13|CPE|CRK|DLG2|DVL1|ITGB2|NACA|NMT1|PALM|PSAP|PTN|PEX19|RAC1|RAP1A|SLC1A1|SRP9|SRP19|EIPR1|GET1|SNX3|RAB11A|ITGB1BP1|TOMM20|MAGI2|ATP2C2|CACNG3|CYP46A1|RAB32|RAB31|RER1|SNF8|RAB3GAP1|TNIK|SEC61G|STX12|MTCH1|SAMM50|NECTIN3|GORASP2|TIMM10|TIMM8B|CHMP4A|PACSIN1|SH3GLB1|EMC4|SNX7|RAB6B|GET4|VPS29|EXOC6|TOMM7|VPS37C|ZDHHC4|ZDHHC7|SCN3B|EMC7|DPP10|DENND1A|ATG3|RHBDF2|NACA4P|MYADM|CHRDL1|NAXE|CHMP4B|TRAM1L1|VPS37D|VPS13B|RILPL2|ZDHHC23|TSPAN33|NACA2|C1QL3|TOMM5|CD24,-9.4
